GO.ID	Description	p.Val	FDR	Phenotype
MULTI-ORGANISM PROCESS%GOBP%GO:0051704	MULTI-ORGANISM PROCESS	1.7445985302863289e-6	3.455274311372646e-5	-1
RNA PROCESSING%GOBP%GO:0006396	RNA PROCESSING	1.10806630682122e-5	1.3505150030145808e-4	-1
LEUKOCYTE AGGREGATION%GOBP%GO:0070486	LEUKOCYTE AGGREGATION	0.004772595047968943	0.016639903516879495	-1
REGULATION OF MULTI-ORGANISM PROCESS%GOBP%GO:0043900	REGULATION OF MULTI-ORGANISM PROCESS	4.662409088144164e-4	0.0025870020854838823	-1
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	POSITIVE REGULATION OF SIGNALING	2.122120002674026e-6	3.981767268175212e-5	-1
REGULATION OF PROTEOLYSIS%GOBP%GO:0030162	REGULATION OF PROTEOLYSIS	6.540109941879342e-5	5.83831025606827e-4	-1
PROTEOLYSIS%GOBP%GO:0006508	PROTEOLYSIS	9.08890619518539e-6	1.1572125209227113e-4	-1
RESPONSE TO BACTERIUM%GOBP%GO:0009617	RESPONSE TO BACTERIUM	0.002027731968225296	0.008381292135331224	-1
MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0009057	MACROMOLECULE CATABOLIC PROCESS	2.861368354279985e-6	4.916037678558143e-5	-1
CELL CYCLE%GOBP%GO:0007049	CELL CYCLE	7.3555686546615416e-6	1.0085616251487845e-4	-1
TCF DEPENDENT SIGNALING IN RESPONSE TO WNT%REACTOME DATABASE ID RELEASE 56%201681	TCF DEPENDENT SIGNALING IN RESPONSE TO WNT	0.002590639280300946	0.010149042894805355	-1
CELLULAR MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0044265	CELLULAR MACROMOLECULE CATABOLIC PROCESS	7.438776444872645e-6	1.0102566867036564e-4	-1
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	NEGATIVE REGULATION OF TRANSFERASE ACTIVITY	0.0026696566003972712	0.010373107117619915	-1
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399	REGULATION OF PROTEIN MODIFICATION PROCESS	1.2433086257073204e-6	2.7276278465517522e-5	-1
AXON GUIDANCE%REACTOME DATABASE ID RELEASE 56%422475	AXON GUIDANCE	3.7503020390028467e-4	0.002228304461507525	-1
INNATE IMMUNE SYSTEM%REACTOME%R-HSA-168249.2	INNATE IMMUNE SYSTEM	1.8992508598225032e-5	2.0833320970052997e-4	-1
RNA METABOLIC PROCESS%GOBP%GO:0016070	RNA METABOLIC PROCESS	2.7509066122202737e-7	8.005699651073695e-6	-1
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION	1.4910106961830149e-6	3.093802294520359e-5	-1
POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	POSITIVE REGULATION OF KINASE ACTIVITY	8.996523191654925e-4	0.004378512652320793	-1
RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0010033	RESPONSE TO ORGANIC SUBSTANCE	3.838218318545325e-7	9.951453313173879e-6	-1
REGULATION OF CELLULAR AMIDE METABOLIC PROCESS%GOBP%GO:0034248	REGULATION OF CELLULAR AMIDE METABOLIC PROCESS	0.002799736291917305	0.01071679114326272	-1
VIRAL PROCESS%GOBP%GO:0016032	VIRAL PROCESS	9.871852436232121e-4	0.004739818711807072	-1
FCERI MEDIATED MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 56%2871796	FCERI MEDIATED MAPK ACTIVATION	0.002797248335172676	0.01071679114326272	-1
PLATELET ACTIVATION, SIGNALING AND AGGREGATION%REACTOME DATABASE ID RELEASE 56%76002	PLATELET ACTIVATION, SIGNALING AND AGGREGATION	0.0020975126837011987	0.00859498013493652	-1
RHO GTPASE EFFECTORS%REACTOME DATABASE ID RELEASE 56%195258	RHO GTPASE EFFECTORS	0.002803199927375171	0.01071679114326272	-1
POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902533	POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION	5.345715458766599e-5	4.91805822206527e-4	-1
COVALENT CHROMATIN MODIFICATION%GOBP%GO:0016569	COVALENT CHROMATIN MODIFICATION	0.00482230957971862	0.016731419612357062	-1
CELL CYCLE PROCESS%GOBP%GO:0022402	CELL CYCLE PROCESS	2.7907149858235507e-5	2.926146742488517e-4	-1
REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043122	REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING	0.004502190342915544	0.015852156614808804	-1
REGULATION OF CELL ADHESION%GOBP%GO:0030155	REGULATION OF CELL ADHESION	0.0011460097822968151	0.005358065408377896	-1
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	REGULATION OF CATALYTIC ACTIVITY	3.1644608818974604e-6	5.3088484912773866e-5	-1
MACROMOLECULAR COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0043933	MACROMOLECULAR COMPLEX SUBUNIT ORGANIZATION	3.9257925056243667e-7	9.996750201822048e-6	-1
POSITIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043085	POSITIVE REGULATION OF CATALYTIC ACTIVITY	7.627415772277815e-5	6.552225838113352e-4	-1
MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764	MULTI-ORGANISM CELLULAR PROCESS	0.0024660967955995165	0.009714513896477654	-1
GENE EXPRESSION%REACTOME DATABASE ID RELEASE 56%74160	GENE EXPRESSION	2.2918109011805707e-7	7.104613793659769e-6	-1
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001934	POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION	3.0111323802605903e-4	0.0019083887885562676	-1
CELL PROLIFERATION%GOBP%GO:0008283	CELL PROLIFERATION	0.0020626967077367353	0.008476672925742317	-1
CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:0070887	CELLULAR RESPONSE TO CHEMICAL STIMULUS	1.3492853361292804e-6	2.915274074727809e-5	-1
SIGNALING BY WNT%REACTOME DATABASE ID RELEASE 56%195721	SIGNALING BY WNT	0.0029585839863052877	0.011131769827101162	-1
MACROMOLECULAR COMPLEX ASSEMBLY%GOBP%GO:0065003	MACROMOLECULAR COMPLEX ASSEMBLY	2.3179772590047692e-5	2.48528990326376e-4	-1
MAPK CASCADE%GOBP%GO:0000165	MAPK CASCADE	0.0026240478634434318	0.010251759598000915	-1
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS	3.3944023806677613e-4	0.002071249638734751	-1
REGULATION OF LOCOMOTION%GOBP%GO:0040012	REGULATION OF LOCOMOTION	0.0014142188304017069	0.006463705295361647	-1
CELLULAR RESPONSE TO DNA DAMAGE STIMULUS%GOBP%GO:0006974	CELLULAR RESPONSE TO DNA DAMAGE STIMULUS	6.313669530705295e-4	0.0033222482475224174	-1
SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION%GOBP%GO:0023014	SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION	0.0028151794142442957	0.010733812419017021	-1
ENZYME LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167	ENZYME LINKED RECEPTOR PROTEIN SIGNALING PATHWAY	6.072137862992376e-4	0.003243021944804168	-1
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.3	AMINO ACID AND DERIVATIVE METABOLISM	0.0017881577628032907	0.007703664561200883	-1
REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051338	REGULATION OF TRANSFERASE ACTIVITY	4.1420241403406166e-4	0.0024010270016771216	-1
ORGANIC SUBSTANCE CATABOLIC PROCESS%GOBP%GO:1901575	ORGANIC SUBSTANCE CATABOLIC PROCESS	9.001995562629905e-6	1.156472583091013e-4	-1
CELLULAR CATABOLIC PROCESS%GOBP%GO:0044248	CELLULAR CATABOLIC PROCESS	1.4448669852541133e-5	1.6751059520100532e-4	-1
RIBOSOME BIOGENESIS%GOBP%GO:0042254	RIBOSOME BIOGENESIS	0.00468852130922707	0.016386841634700496	-1
POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045860	POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY	0.0048052195298122135	0.01671278792563955	-1
PROTEIN TRANSPORT%GOBP%GO:0015031	PROTEIN TRANSPORT	3.5950677698013154e-4	0.002149639806643789	-1
CELLULAR MACROMOLECULAR COMPLEX ASSEMBLY%GOBP%GO:0034622	CELLULAR MACROMOLECULAR COMPLEX ASSEMBLY	6.454038891660086e-4	0.003383624801289442	-1
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	REGULATION OF MOLECULAR FUNCTION	2.170570231045579e-6	4.018914746247273e-5	-1
CYTOSKELETON ORGANIZATION%GOBP%GO:0007010	CYTOSKELETON ORGANIZATION	0.0018237441805678098	0.007763161795491632	-1
CELL MIGRATION%GOBP%GO:0016477	CELL MIGRATION	0.004548916444723149	0.015937972604853096	-1
INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:0035556	INTRACELLULAR SIGNAL TRANSDUCTION	7.747128575878589e-5	6.615212783953813e-4	-1
INTERSPECIES INTERACTION BETWEEN ORGANISMS%GOBP%GO:0044419	INTERSPECIES INTERACTION BETWEEN ORGANISMS	0.004913683178213364	0.016841545288666774	-1
SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM%GOBP%GO:0044403	SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM	0.004913683178213364	0.016841545288666774	-1
INTRACELLULAR TRANSPORT%GOBP%GO:0046907	INTRACELLULAR TRANSPORT	1.8384047453409338e-5	2.0322210595784276e-4	-1
POSITIVE REGULATION OF PHOSPHORYLATION%GOBP%GO:0042327	POSITIVE REGULATION OF PHOSPHORYLATION	0.0016498486838021523	0.007283852083906716	-1
PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0006793	PHOSPHORUS METABOLIC PROCESS	1.6109017590363422e-5	1.8231316733220826e-4	-1
NEGATIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051129	NEGATIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION	0.004236086873553287	0.015063989729892736	-1
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	CELLULAR RESPONSE TO STRESS	2.9320017515212564e-5	3.051849998298768e-4	-1
INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0006886	INTRACELLULAR PROTEIN TRANSPORT	0.0011187837493444105	0.005282733862798442	-1
PEPTIDYL-AMINO ACID MODIFICATION%GOBP%GO:0018193	PEPTIDYL-AMINO ACID MODIFICATION	0.0013541431232767928	0.006249217132015232	-1
POSITIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044093	POSITIVE REGULATION OF MOLECULAR FUNCTION	1.4493068726029027e-4	0.0010251362347856545	-1
NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051248	NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS	0.0011309975457346332	0.005320720249911858	-1
NEGATIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009892	NEGATIVE REGULATION OF METABOLIC PROCESS	8.590645942955653e-6	1.123877166482088e-4	-1
REGULATION OF CELLULAR RESPONSE TO STRESS%GOBP%GO:0080135	REGULATION OF CELLULAR RESPONSE TO STRESS	8.075592377291518e-4	0.004026501653852344	-1
ESTABLISHMENT OF LOCALIZATION IN CELL%GOBP%GO:0051649	ESTABLISHMENT OF LOCALIZATION IN CELL	2.564455311495772e-5	2.729039756860426e-4	-1
METABOLISM OF PROTEINS%REACTOME%R-HSA-392499.2	METABOLISM OF PROTEINS	2.0981603955787763e-4	0.001417286866312523	-1
POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0045937	POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS	0.0018196813936089402	0.007763161795491632	-1
POSITIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010562	POSITIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS	0.0018196813936089402	0.007763161795491632	-1
NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010605	NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS	3.060361275205367e-5	3.162373317712213e-4	-1
CARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0019752	CARBOXYLIC ACID METABOLIC PROCESS	0.0020362196445789034	0.008392049749044844	-1
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006796	PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS	9.12961844682211e-5	7.27309268445158e-4	-1
MEMBRANE ORGANIZATION%GOBP%GO:0061024	MEMBRANE ORGANIZATION	0.0015940087685510724	0.007147976427527764	-1
CATABOLIC PROCESS%GOBP%GO:0009056	CATABOLIC PROCESS	8.071451957207474e-5	6.851125292248723e-4	-1
SINGLE-ORGANISM INTRACELLULAR TRANSPORT%GOBP%GO:1902582	SINGLE-ORGANISM INTRACELLULAR TRANSPORT	7.369228403894566e-5	6.38607170288039e-4	-1
ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:0045184	ESTABLISHMENT OF PROTEIN LOCALIZATION	0.0010153624172408136	0.004842497682225419	-1
VESICLE-MEDIATED TRANSPORT%GOBP%GO:0016192	VESICLE-MEDIATED TRANSPORT	7.500442127545431e-4	0.0037927767637871575	-1
DISEASE%REACTOME DATABASE ID RELEASE 56%1643685	DISEASE	0.0022827754502309683	0.009143764165081801	-1
CELLULAR LOCALIZATION%GOBP%GO:0051641	CELLULAR LOCALIZATION	3.2942686367338505e-5	3.3218773476340573e-4	-1
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	CELLULAR COMPONENT BIOGENESIS	7.18170512548367e-5	6.32167377095044e-4	-1
PROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071822	PROTEIN COMPLEX SUBUNIT ORGANIZATION	4.53394479976139e-4	0.0025558122277879	-1
NEGATIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032269	NEGATIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS	0.002258372311520239	0.009143764165081801	-1
PROTEIN PHOSPHORYLATION%GOBP%GO:0006468	PROTEIN PHOSPHORYLATION	0.003761755395601557	0.013684344882979134	-1
DNA METABOLIC PROCESS%GOBP%GO:0006259	DNA METABOLIC PROCESS	0.003537423083527248	0.013002140937099333	-1
GENE EXPRESSION%GOBP%GO:0010467	GENE EXPRESSION	4.0341489891428136e-5	3.8608701063876864e-4	-1
OXOACID METABOLIC PROCESS%GOBP%GO:0043436	OXOACID METABOLIC PROCESS	0.004298043965729931	0.015246295261519605	-1
PHOSPHORYLATION%GOBP%GO:0016310	PHOSPHORYLATION	0.004525633815239757	0.015895452759930772	-1
NUCLEOBASE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0034654	NUCLEOBASE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS	0.0018192138207217517	0.007763161795491632	-1
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239	REGULATION OF MULTICELLULAR ORGANISMAL PROCESS	4.7411480646116004e-4	0.002620495015556644	-1
DEVELOPMENTAL BIOLOGY%REACTOME%R-HSA-1266738.2	DEVELOPMENTAL BIOLOGY	0.003878239205040122	0.01400093444654991	-1
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	CHROMOSOME ORGANIZATION	0.003585170485425261	0.013108854133888261	-1
MACROMOLECULE LOCALIZATION%GOBP%GO:0033036	MACROMOLECULE LOCALIZATION	7.221505219482713e-4	0.003664721154086245	-1
AROMATIC COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0019438	AROMATIC COMPOUND BIOSYNTHETIC PROCESS	0.0019285128065321144	0.008064689918225206	-1
HETEROCYCLE BIOSYNTHETIC PROCESS%GOBP%GO:0018130	HETEROCYCLE BIOSYNTHETIC PROCESS	0.0012794986752112378	0.005943208830134284	-1
REGULATION OF CELL PROLIFERATION%GOBP%GO:0042127	REGULATION OF CELL PROLIFERATION	0.0032316798995102687	0.011969806588835437	-1
SINGLE-ORGANISM MEMBRANE ORGANIZATION%GOBP%GO:0044802	SINGLE-ORGANISM MEMBRANE ORGANIZATION	0.0024635672272839138	0.009714513896477654	-1
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	REGULATION OF CELLULAR COMPONENT ORGANIZATION	2.9478082683439893e-4	0.001885011027201134	-1
REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0042981	REGULATION OF APOPTOTIC PROCESS	0.0013344614374176036	0.0061783831485633205	-1
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043	REGULATION OF ORGANELLE ORGANIZATION	0.00299734272848396	0.011247922975837175	-1
PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0006461	PROTEIN COMPLEX ASSEMBLY	0.004853755540389258	0.016758971914273807	-1
PROTEIN COMPLEX BIOGENESIS%GOBP%GO:0070271	PROTEIN COMPLEX BIOGENESIS	0.004853755540389258	0.016758971914273807	-1
SINGLE-ORGANISM ORGANELLE ORGANIZATION%GOBP%GO:1902589	SINGLE-ORGANISM ORGANELLE ORGANIZATION	2.4271100684673596e-4	0.0016023421100159513	-1
REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043067	REGULATION OF PROGRAMMED CELL DEATH	0.004918761194948043	0.016841545288666774	-1
NEGATIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010629	NEGATIVE REGULATION OF GENE EXPRESSION	0.0029474361652490617	0.011119163946151223	-1
REGULATION OF LOCALIZATION%GOBP%GO:0032879	REGULATION OF LOCALIZATION	7.133850704545661e-4	0.0036331682516721826	-1
CELLULAR MACROMOLECULE LOCALIZATION%GOBP%GO:0070727	CELLULAR MACROMOLECULE LOCALIZATION	0.004092505241830279	0.014663096670477329	-1
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	CELLULAR COMPONENT ASSEMBLY	0.001114757625199977	0.005281210543306204	-1
CELLULAR PROTEIN LOCALIZATION%GOBP%GO:0034613	CELLULAR PROTEIN LOCALIZATION	0.00340402691898164	0.012575498410538389	-1
CELLULAR NITROGEN COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0044271	CELLULAR NITROGEN COMPOUND BIOSYNTHETIC PROCESS	8.883984021353682e-4	0.0043385483611131336	-1
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	POSITIVE REGULATION OF RNA METABOLIC PROCESS	0.004133635603303506	0.014736410925776999	-1
PROTEIN LOCALIZATION%GOBP%GO:0008104	PROTEIN LOCALIZATION	0.0037986442078065206	0.013748392488152534	-1
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557	POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS	0.004130090917665206	0.014736410925776999	-1
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628	POSITIVE REGULATION OF GENE EXPRESSION	0.003030425981557734	0.011312532590841175	-1
REGULATION OF TRANSPORT%GOBP%GO:0051049	REGULATION OF TRANSPORT	0.004389083239189523	0.01553060223097831	-1
NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031324	NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS	0.001662102188100705	0.007315301605653103	-1
